recency,history,history_segment,zip_code,channel,newbie,segment,T,visit,conversion,spend,true_tau_mens_visit,true_tau_womens_visit,true_tau_mens_spend,true_tau_womens_spend
7,340.8950266263605,3) $200 - $350,Urban,Web,0,Womens E-Mail,2,0,0,7.411222085960937,0.05,0.03,1.5,1.0
4,219.52983750972192,3) $200 - $350,Suburban,Web,0,Womens E-Mail,2,0,0,4.405510886298893,0.05,0.03,1.5,1.0
11,342.2613027961552,3) $200 - $350,Rural,Phone,0,Womens E-Mail,2,0,0,7.764776505440177,0.05,0.03,1.5,1.0
8,162.50204525811267,2) $100 - $200,Suburban,Web,0,Mens E-Mail,1,0,0,5.198890483947109,0.05,0.03,1.5,1.0
5,201.63824576224982,3) $200 - $350,Suburban,Web,0,Mens E-Mail,1,1,0,4.3639679619377745,0.05,0.03,1.5,1.0
7,581.0670138007231,5) $500 - $750,Rural,Phone,0,Mens E-Mail,1,0,0,8.968092502925824,0.05,0.03,1.5,1.0
10,319.9011225657655,3) $200 - $350,Suburban,Web,0,Womens E-Mail,2,0,0,7.0060581145465095,0.05,0.03,1.5,1.0
3,232.61417666715673,3) $200 - $350,Suburban,Web,0,Mens E-Mail,1,0,0,4.906587907008591,0.05,0.03,1.5,1.0
7,19.13748038325651,1) $0 - $100,Urban,Phone,0,Mens E-Mail,1,0,0,4.5860404365276946,0.05,0.03,1.5,1.0
11,325.1422326883271,3) $200 - $350,Urban,Phone,0,Womens E-Mail,2,0,0,7.432760891982853,0.05,0.03,1.5,1.0
11,627.8796267879943,5) $500 - $750,Suburban,Phone,0,Womens E-Mail,2,0,0,11.686000176922198,0.05,0.03,1.5,1.0
8,214.44526147659255,3) $200 - $350,Suburban,Web,0,Womens E-Mail,2,0,1,5.706357780638609,0.05,0.03,1.5,1.0
5,242.34480839519114,3) $200 - $350,Rural,Web,1,Womens E-Mail,2,0,0,6.11168001597097,0.05,0.03,1.5,1.0
4,307.17574026115193,3) $200 - $350,Rural,Web,0,Mens E-Mail,1,0,0,7.247057506822388,0.05,0.03,1.5,1.0
8,205.03982386830356,3) $200 - $350,Suburban,Phone,1,Mens E-Mail,1,0,0,6.984843826180662,0.05,0.03,1.5,1.0
8,631.2751384835766,5) $500 - $750,Suburban,Web,0,Mens E-Mail,1,0,0,10.40940150335386,0.05,0.03,1.5,1.0
3,447.072154269663,4) $350 - $500,Suburban,Web,0,Mens E-Mail,1,0,0,7.612578763004356,0.05,0.03,1.5,1.0
6,404.4084084238708,4) $350 - $500,Suburban,Web,0,Mens E-Mail,1,0,0,7.595185593872223,0.05,0.03,1.5,1.0
5,617.1487560224559,5) $500 - $750,Suburban,Web,0,Mens E-Mail,1,0,0,9.136219715456706,0.05,0.03,1.5,1.0
2,555.8346461363043,5) $500 - $750,Urban,Web,0,Mens E-Mail,1,0,0,7.107598204442747,0.05,0.03,1.5,1.0
8,311.78633037902773,3) $200 - $350,Suburban,Web,1,Womens E-Mail,2,0,0,5.840063123162777,0.05,0.03,1.5,1.0
12,258.12992491855584,3) $200 - $350,Suburban,Web,0,Womens E-Mail,2,0,0,6.460507689749481,0.05,0.03,1.5,1.0
6,256.6229460913543,3) $200 - $350,Urban,Web,1,Womens E-Mail,2,0,0,4.885275681282133,0.05,0.03,1.5,1.0
2,218.69427279116877,3) $200 - $350,Suburban,Phone,0,Mens E-Mail,1,0,0,4.581103247665851,0.05,0.03,1.5,1.0
12,267.1447385197231,3) $200 - $350,Suburban,Web,0,Womens E-Mail,2,0,0,6.720129327186378,0.05,0.03,1.5,1.0
5,223.25528186718094,3) $200 - $350,Urban,Web,0,Mens E-Mail,1,0,0,6.816061383346538,0.05,0.03,1.5,1.0
1,131.0789808068363,2) $100 - $200,Suburban,Web,0,Mens E-Mail,1,0,0,1.160253281396277,0.05,0.03,1.5,1.0
12,63.01862557286162,1) $0 - $100,Suburban,Web,1,Womens E-Mail,2,0,0,4.007377644769742,0.05,0.03,1.5,1.0
10,456.8493745930303,4) $350 - $500,Urban,Phone,0,Mens E-Mail,1,0,0,6.856632891994018,0.05,0.03,1.5,1.0
6,99.15341100349747,1) $0 - $100,Rural,Web,0,Mens E-Mail,1,0,1,5.615656652381242,0.05,0.03,1.5,1.0
12,353.234115932321,4) $350 - $500,Suburban,Web,0,Mens E-Mail,1,0,0,8.113066884225063,0.05,0.03,1.5,1.0
9,445.3219340773559,4) $350 - $500,Rural,Web,1,Womens E-Mail,2,0,0,8.407645964294048,0.05,0.03,1.5,1.0
1,366.0080266205779,4) $350 - $500,Suburban,Web,0,Mens E-Mail,1,1,1,6.954573271276657,0.05,0.03,1.5,1.0
11,277.79609431373984,3) $200 - $350,Urban,Web,1,Womens E-Mail,2,0,0,6.981271708952661,0.05,0.03,1.5,1.0
11,332.48856397303854,3) $200 - $350,Urban,Phone,1,Womens E-Mail,2,0,0,7.362318446490708,0.05,0.03,1.5,1.0
10,234.76278980504023,3) $200 - $350,Suburban,Phone,0,Womens E-Mail,2,0,0,8.134233700151503,0.05,0.03,1.5,1.0
12,286.09960595442095,3) $200 - $350,Urban,Web,0,Womens E-Mail,2,0,0,7.305551505866947,0.05,0.03,1.5,1.0
12,252.78585924491586,3) $200 - $350,Suburban,Phone,1,Womens E-Mail,2,0,0,7.987709779967365,0.05,0.03,1.5,1.0
3,196.93699447058896,2) $100 - $200,Suburban,Web,0,Mens E-Mail,1,0,0,3.904517099453923,0.05,0.03,1.5,1.0
12,478.3957528789223,4) $350 - $500,Urban,Phone,0,Womens E-Mail,2,0,0,9.069117835549696,0.05,0.03,1.5,1.0
